country_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Afghanistan, Islamic Rep. of",1.301,1.109,1.366,1.384,0.615,1.427,0.491,1.78,0.736,0.804,0.929,1.646,1.446,0.234,1.308,0.457,1.101,1.607,1.568,1.58,0.96
Albania,0.722,1.112,1.555,0.492,1.023,0.462,0.255,0.426,1.45,1.103,1.009,1.274,1.108,1.568,1.444,1.322,1.665,1.601,1.269,2.146,1.823
Algeria,1.456,0.798,1.827,1.222,1.567,0.964,1.238,1.373,1.198,1.164,0.927,2.249,1.39,1.128,1.173,1.676,1.101,1.736,1.498,1.211,1.094
American Samoa,0.243,0.67,0.948,1.196,0.719,0.215,0.844,0.446,0.894,0.46,Unknown,1.047,0.642,0.646,0.883,0.554,0.394,0.924,0.82,0.574,0.924
"Andorra, Principality of",1.02,1.015,1.476,0.828,1.946,0.919,0.835,1.463,0.974,0.891,1.358,0.411,1.617,1.196,0.757,1.857,1.546,1.83,1.771,1.761,1.813
Angola,0.591,0.316,0.425,0.868,1.058,0.558,1.21,0.636,0.955,0.601,0.744,1.303,0.923,0.576,1.09,0.879,1.43,1.847,1.064,1.504,1.975
Anguilla,0.598,0.276,0.611,0.776,0.918,0.549,0.826,0.6,0.876,0.344,0.577,1.107,0.507,0.652,0.778,0.821,1.07,1.164,0.98,0.728,0.861
Antigua and Barbuda,0.611,0.384,Unknown,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723,1.032,1.105,0.965,0.694,0.806
Argentina,0.158,-0.187,0.415,0.28,0.615,0.421,0.228,0.547,-0.219,0.55,0.793,0.102,0.36,0.787,0.437,0.951,0.953,0.492,1.1,0.876,0.756
"Armenia, Rep. of",1.527,1.038,1.412,1.125,0.117,1.144,0.51,1.627,0.682,0.811,0.681,2.805,0.676,1.272,1.407,1.258,1.921,1.339,0.901,2.781,1.853
"Aruba, Kingdom of the Netherlands",0.216,-0.069,0.531,0.688,0.796,0.338,0.493,0.49,0.867,0.276,0.703,1.25,0.354,0.554,1.017,0.804,1.604,0.781,1.177,0.817,1.152
Australia,0.56,0.124,0.311,0.706,0.807,0.698,1.181,0.683,0.887,0.582,0.986,0.624,0.156,0.258,1.459,1.166,1.062,1.145,1.122,1.112,1.411
Austria,0.985,1.768,1.504,1.539,1.473,0.839,0.638,0.921,2.15,1.593,1.552,0.662,1.381,1.791,1.103,2.427,2.183,2.111,1.753,2.535,2.369
"Azerbaijan, Rep. of",1.242,1.115,1.425,1.416,-0.125,1.331,0.879,1.528,0.98,0.928,0.799,2.356,0.768,1.475,1.565,1.242,1.667,1.455,1.306,2.252,2.012
"Bahamas, The",0.704,0.29,0.229,0.952,1.096,0.42,0.48,0.424,0.973,0.893,0.494,0.399,0.453,0.452,0.677,0.994,1.23,1.164,1.456,1.168,1.585
